#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

22.0	5.0
22.2	5.0
22.4	5.0
22.6	5.0
22.8	5.0
23.0	5.0
23.2	5.0
23.4	5.0
23.6	4.0
23.8	5.0
24.0	5.0
24.2	5.0
24.4	4.0
24.6	5.0
24.8	5.0
25.0	6.0
25.2	5.0
25.4	4.0
25.6	4.0
25.8	5.0
26.0	7.0
26.2	8.0
26.4	10.0
26.6	11.0
26.8	11.0
27.0	9.0
27.2	9.0
27.4	8.0
27.6	9.0
27.8	8.0
28.0	7.0
28.2	8.0
28.4	8.0
28.6	8.0
28.8	6.0
29.0	7.0
29.2	7.0
29.4	6.0
29.6	5.0
29.8	6.0
30.0	5.0
